Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA,Score_2024,Score_2023,Score_2022,Score_2021,Score_2019,Score_2018,Score_2017,Score_2016,Score_2015,Score_2014,Score_2013,Score_2012,Score_2011,Score_2010,WeightedScore,OptimizedForYear
10,9,9,9,3,1,2,8,7,4,8,4,0,3,1,8,5,7,5,8,1,0,5,5,122,53,49,113,92,101,99,154,87,56,84,116,50,109,91.53072625698324,2016
5,9,7,8,2,3,1,3,3,4,10,3,3,2,2,1,0,10,10,3,3,1,6,7,116,51,50,107,83,101,127,147,88,52,118,83,44,110,90.86033519553074,2017
9,3,8,3,5,1,1,4,6,9,3,7,5,1,2,0,2,3,5,1,9,8,4,0,134,60,56,109,101,51,109,88,74,51,122,81,44,82,85.2122905027933,2013
4,5,8,1,6,1,1,7,10,4,6,0,7,4,0,5,3,6,5,8,4,1,4,5,82,50,48,101,93,72,101,148,96,60,118,91,46,117,84.54189944134077,2010
6,3,10,4,10,1,10,9,6,7,5,8,6,10,2,4,0,0,7,1,1,6,0,0,135,65,56,136,93,50,62,67,86,71,61,137,44,77,83.97206703910615,2012
9,4,8,10,9,1,6,8,4,6,4,3,5,7,5,6,2,4,8,4,3,2,10,7,105,55,62,104,103,37,82,132,83,51,67,127,45,77,81.3463687150838,2022
9,1,5,2,10,6,4,4,7,8,1,6,6,1,2,8,5,5,6,0,7,0,5,8,101,59,57,109,107,43,105,89,77,60,64,127,45,78,80.90502793296089,2019
9,9,1,7,8,7,2,10,10,3,0,5,6,2,7,3,10,8,3,0,3,7,3,2,150,49,44,102,67,97,76,103,81,58,56,71,43,79,80.23463687150837,2024
2,7,8,3,5,4,4,1,8,7,9,9,9,9,10,10,4,9,1,5,6,3,0,6,129,46,38,103,90,52,86,107,84,72,52,122,46,78,79.59217877094972,2014
9,1,1,0,1,9,10,4,4,4,3,6,9,1,1,2,3,1,7,2,6,2,1,3,100,53,53,145,91,42,79,55,77,54,62,79,43,81,75.02793296089385,2021
7,9,1,10,3,5,10,1,5,1,2,1,1,7,6,6,5,10,3,10,1,2,3,5,111,39,38,108,77,118,83,65,74,55,62,58,44,73,74.18435754189944,2018
4,8,5,2,10,1,0,9,8,1,9,10,0,7,1,4,0,4,6,3,9,3,6,2,130,66,45,76,90,37,64,92,82,62,52,67,43,76,72.86592178770948,2023
6,2,3,3,2,4,1,2,5,8,1,0,2,2,1,9,6,10,2,8,1,6,3,9,58,44,42,85,84,49,91,141,96,53,63,83,55,75,70.78212290502795,2011
0,8,9,10,0,10,3,1,8,9,0,3,7,7,8,0,7,1,10,8,6,4,8,8,88,45,38,91,58,100,54,86,132,42,54,68,39,53,68.95530726256983,2015
