Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA,Score_2024,Score_2023,Score_2022,Score_2021,Score_2019,Score_2018,Score_2017,Score_2016,Score_2015,Score_2014,Score_2013,Score_2012,Score_2011,Score_2010,WeightedScore,OptimizedForYear
8,3,1,8,7,2,5,9,5,8,3,5,5,1,4,7,5,0,3,2,8,2,4,8,98,67,57,95,102,40,79,104,76,51,48,126,45,85,77.37430167597765,2023
8,7,10,1,0,4,4,9,5,5,8,0,4,7,9,6,4,8,7,0,9,9,8,1,147,55,50,95,71,99,66,100,85,56,54,73,46,73,80.0782122905028,2024
10,4,6,1,2,4,3,2,3,1,2,2,6,4,6,7,0,3,5,3,8,8,10,9,108,54,63,97,97,43,84,92,90,55,60,75,49,72,76.40782122905028,2022
7,3,8,3,9,2,3,7,8,5,6,1,9,2,1,1,7,8,9,0,3,2,0,6,87,54,42,142,86,109,134,114,99,48,116,93,45,111,90.50279329608941,2021
7,3,4,2,1,2,5,4,5,5,8,3,10,4,1,10,1,4,1,3,9,0,9,0,101,62,55,89,106,35,80,65,71,61,67,122,44,78,74.56424581005587,2019
4,5,7,7,10,1,10,0,0,2,5,2,1,4,6,2,0,7,8,9,0,6,2,2,48,46,45,140,85,125,53,94,85,53,64,74,42,66,73.68156424581005,2018
4,8,8,3,5,10,2,5,4,0,5,9,10,3,1,2,7,0,2,9,1,6,6,5,87,48,46,97,74,51,142,111,101,57,68,126,44,82,79.50837988826815,2017
1,2,10,10,7,2,2,2,4,0,4,0,3,2,10,6,9,5,3,8,1,9,9,9,99,47,50,80,62,102,94,150,92,44,66,57,43,72,76.80446927374302,2016
8,4,8,10,1,3,3,10,5,0,6,9,8,3,2,3,10,6,1,9,4,10,7,4,99,48,50,96,73,96,78,106,111,51,68,74,46,104,78.37988826815644,2015
1,6,6,1,7,3,2,6,2,10,1,0,10,6,1,5,2,8,2,7,4,0,3,9,83,44,45,105,92,49,89,141,95,70,83,122,47,104,80.5977653631285,2014
5,3,9,0,7,1,2,3,1,8,4,1,10,4,4,0,3,6,5,8,6,10,6,10,132,53,44,81,99,48,87,146,98,67,124,76,48,100,85.27374301675977,2013
1,0,7,4,9,8,6,5,4,10,7,4,4,2,9,2,2,0,3,5,1,1,7,4,99,52,35,99,99,42,83,121,76,48,51,131,37,77,75.02234636871509,2012
9,3,8,5,7,0,0,8,10,5,2,2,6,0,2,0,2,9,0,4,1,4,5,2,138,57,49,90,101,101,140,110,94,61,77,128,52,118,93.61452513966482,2011
1,8,8,5,2,3,0,8,0,10,7,4,4,4,4,4,1,7,5,1,1,2,2,2,118,48,50,103,97,95,92,130,80,55,82,125,41,119,87.33519553072627,2010
