Seed,Win %,SoS,Pts / Gm,Opp Pts / Gm,FG %,3Pt FG %,Free Throw %,Offense Rating,Defense Rating,Adj. Score Margin,Rebound %,Off. Rebound %,Effective FG %,True Shooting %,Opp. True Shoot %,Pace,Turnover %,Opp. Turnover %,Turnover Margin,Assist %,Assists / Turnover,FT / FGA,Opp. FT / FGA,Score_2024,Score_2023,Score_2022,Score_2021,Score_2019,Score_2018,Score_2017,Score_2016,Score_2015,Score_2014,Score_2013,Score_2012,Score_2011,Score_2010,WeightedScore,OptimizedForYear
10,9,5,9,2,6,0,9,2,0,1,0,3,5,1,4,2,3,2,1,1,6,4,0,152,54,51,104,73,99,83,117,84,56,64,71,48,76,84.55865921787709,2024
6,8,8,8,3,1,8,7,5,4,5,7,10,6,2,1,4,3,6,0,10,1,5,1,105,115,53,98,74,46,132,63,74,53,63,80,43,78,80.73184357541899,2023
8,1,7,7,5,0,0,9,1,0,5,8,4,2,1,3,8,1,2,3,5,0,1,7,97,57,63,100,77,53,122,115,101,55,84,95,54,111,83.46927374301674,2022
9,5,4,5,7,1,6,3,2,3,0,1,9,2,2,5,0,0,8,0,5,1,3,5,100,58,57,145,108,42,106,80,85,61,84,121,43,79,84.82122905027933,2021
10,7,10,2,7,1,5,6,5,9,2,4,6,3,1,3,1,2,4,5,9,0,0,8,102,53,58,143,136,47,89,95,95,65,83,121,48,82,88.0167597765363,2019
9,0,6,5,1,9,9,6,1,3,2,2,5,0,10,6,2,9,8,8,0,3,0,0,126,51,48,105,87,119,88,78,88,56,58,73,41,71,81.20670391061452,2018
4,0,5,6,3,2,0,2,6,0,5,1,9,2,4,8,8,1,8,3,3,7,5,6,89,54,43,108,62,55,150,104,86,49,67,72,41,82,76.58100558659217,2017
5,3,8,4,1,9,2,8,2,8,10,1,7,8,8,6,9,7,7,4,4,0,0,10,93,53,41,99,55,106,82,158,110,58,60,77,40,78,79.62569832402234,2016
4,6,10,1,8,9,1,7,3,5,4,0,7,8,0,4,4,3,0,10,5,3,1,9,131,58,47,95,98,108,75,148,111,56,64,74,49,74,87.44134078212291,2015
2,3,9,1,8,2,4,9,4,8,7,7,5,0,9,5,2,10,2,1,0,0,9,6,107,45,58,78,102,37,82,129,94,81,65,122,45,114,80.62011173184358,2014
1,10,7,2,2,4,3,5,2,8,10,3,10,1,2,2,1,6,8,0,4,1,0,4,81,46,53,131,93,51,85,96,81,59,123,129,43,116,81.88826815642457,2013
1,6,9,3,9,3,8,1,7,9,2,3,3,2,2,7,0,6,7,6,3,1,6,5,49,41,53,108,95,48,92,123,73,65,84,133,43,75,74.536312849162,2012
8,6,5,0,2,0,6,10,5,2,1,0,2,1,3,1,3,7,1,7,9,2,8,10,110,49,48,68,91,37,49,133,106,51,61,69,57,103,72.96648044692739,2011
4,2,9,1,0,3,3,9,5,4,6,3,9,0,2,6,10,8,3,10,9,0,7,0,75,60,45,107,73,48,72,109,84,49,80,98,40,121,73.76536312849161,2010
